testCase testName testIterIndex baseResult nodeCount tsResult timeMicroseconds memSize aspStall maxIter maxVicSize termCond
att48 TSWSM_SE 5 40138 48 36555 15711640 200 150 3500 100 300
att48 TSWSM_SE 6 40138 48 35609 14468808 200 150 3500 100 300
att48 TSWSM_SE 7 40138 48 35063 15287408 200 150 3500 100 300
att48 TSWSM_SE 8 40138 48 35483 19610381 200 150 3500 100 300
att48 TSWSM_SE 9 40138 48 35277 10889922 200 150 3500 100 300
att48 TSWSM_SE 10 40138 48 36590 21964284 200 150 3500 100 300
att48 TSWSM_SE 11 40138 48 34436 21250004 200 150 3500 100 300
att48 TSWSM_SE 12 40138 48 36329 13011409 200 150 3500 100 300
att48 TSWSM_SE 13 40138 48 35984 16921920 200 150 3500 100 300
att48 TSWSM_SE 14 40138 48 36102 19930454 200 150 3500 100 300
att48 TSWSM_SE 15 40138 48 35575 9605721 200 150 3500 100 300
att48 TSWSM_SE 16 40138 48 35166 8953052 200 150 3500 100 300
att48 TSWSM_SE 17 40138 48 35234 12959935 200 150 3500 100 300
att48 TSWSM_SE 18 40138 48 35110 8294326 200 150 3500 100 300
att48 TSWSM_SE 19 40138 48 34579 13249316 200 150 3500 100 300
att48 TSWSM_SE 20 40138 48 35499 10886302 200 150 3500 100 300
att48 TSWSM_SE 21 40138 48 35051 11593823 200 150 3500 100 300
att48 TSWSM_SE 22 40138 48 34869 9635240 200 150 3500 100 300
att48 TSWSM_SE 23 40138 48 34660 15215709 200 150 3500 100 300
att48 TSWSM_SE 24 40138 48 36590 21751362 200 150 3500 100 300
att48 TSWSM_SE 25 40138 48 37177 10676365 200 150 3500 100 300
att48 TSWSM_SE 26 40138 48 35648 13557608 200 150 3500 100 300
att48 TSWSM_SE 27 40138 48 35765 14787449 200 150 3500 100 300
att48 TSWSM_SE 28 40138 48 35528 21615690 200 150 3500 100 300
att48 TSWSM_SE 29 40138 48 37108 14974116 200 150 3500 100 300
att48 TSWSM_SE 30 40138 48 34553 14873776 200 150 3500 100 300
att48 TSWSM_NN 1 40503 48 35865 21647696 200 150 3500 100 300
att48 TSWSM_NN 2 40503 48 34162 21666354 200 150 3500 100 300
att48 TSWSM_NN 3 40503 48 35051 12479874 200 150 3500 100 300
att48 TSWSM_NN 4 40503 48 34642 20683628 200 150 3500 100 300
att48 TSWSM_NN 5 40503 48 34575 21659411 200 150 3500 100 300
att48 TSWSM_NN 6 40503 48 34905 21629799 200 150 3500 100 300
att48 TSWSM_NN 7 40503 48 34295 14291131 200 150 3500 100 300
att48 TSWSM_NN 8 40503 48 34564 15935052 200 150 3500 100 300
att48 TSWSM_NN 9 40503 48 33880 13640868 200 150 3500 100 300
att48 TSWSM_NN 10 40503 48 34813 15946581 200 150 3500 100 300
att48 TSWSM_NN 11 40503 48 34529 13636317 200 150 3500 100 300
att48 TSWSM_NN 12 40503 48 34797 10525828 200 150 3500 100 300
att48 TSWSM_NN 13 40503 48 34940 12087077 200 150 3500 100 300
att48 TSWSM_NN 14 40503 48 34730 10786625 200 150 3500 100 300
att48 TSWSM_NN 15 40503 48 35357 10603838 200 150 3500 100 300
att48 TSWSM_NN 16 40503 48 34564 11418664 200 150 3500 100 300
att48 TSWSM_NN 17 40503 48 34662 16204641 200 150 3500 100 300
att48 TSWSM_NN 18 40503 48 34490 15692796 200 150 3500 100 300
att48 TSWSM_NN 19 40503 48 34525 12092376 200 150 3500 100 300
att48 TSWSM_NN 20 40503 48 34639 12158033 200 150 3500 100 300
att48 TSWSM_NN 21 40503 48 35340 10501404 200 150 3500 100 300
att48 TSWSM_NN 22 40503 48 34282 9141337 200 150 3500 100 300
att48 TSWSM_NN 23 40503 48 35051 11372266 200 150 3500 100 300
att48 TSWSM_NN 24 40503 48 35080 16478832 200 150 3500 100 300
att48 TSWSM_NN 25 40503 48 34531 16330475 200 150 3500 100 300
att48 TSWSM_NN 26 40503 48 34842 11566091 200 150 3500 100 300
att48 TSWSM_NN 27 40503 48 35352 13339014 200 150 3500 100 300
att48 TSWSM_NN 28 40503 48 34018 18130826 200 150 3500 100 300
att48 TSWSM_NN 29 40503 48 34423 17179537 200 150 3500 100 300
att48 TSWSM_NN 30 40503 48 34541 13280395 200 150 3500 100 300
att48 TSESM_AGM 1 45740 48 33879 11862085 300 150 3500 100 300
att48 TSESM_AGM 2 45740 48 35004 8683395 300 150 3500 100 300
att48 TSESM_AGM 3 45740 48 35143 12741347 300 150 3500 100 300
att48 TSESM_AGM 4 45740 48 34632 10362113 300 150 3500 100 300
att48 TSESM_AGM 5 45740 48 35041 9138294 300 150 3500 100 300
att48 TSESM_AGM 6 45740 48 35371 9264548 300 150 3500 100 300
att48 TSESM_AGM 7 45740 48 34944 11306874 300 150 3500 100 300
att48 TSESM_AGM 8 45740 48 34849 10278482 300 150 3500 100 300
att48 TSESM_AGM 9 45740 48 35302 10402459 300 150 3500 100 300
att48 TSESM_AGM 10 45740 48 35705 10199312 300 150 3500 100 300
att48 TSESM_AGM 11 45740 48 34887 13083057 300 150 3500 100 300
att48 TSESM_AGM 12 45740 48 34346 8022790 300 150 3500 100 300
att48 TSESM_AGM 13 45740 48 35238 16380793 300 150 3500 100 300
att48 TSESM_AGM 14 45740 48 34507 12759595 300 150 3500 100 300
att48 TSESM_AGM 15 45740 48 34363 12696623 300 150 3500 100 300
att48 TSESM_AGM 16 45740 48 34507 11898708 300 150 3500 100 300
att48 TSESM_AGM 17 45740 48 35278 7956032 300 150 3500 100 300
att48 TSESM_AGM 18 45740 48 34778 12798930 300 150 3500 100 300
att48 TSESM_AGM 19 45740 48 34485 10894905 300 150 3500 100 300
att48 TSESM_AGM 20 45740 48 35181 15727786 300 150 3500 100 300
att48 TSESM_AGM 21 45740 48 37229 6311525 300 150 3500 100 300
att48 TSESM_AGM 22 45740 48 35113 9579585 300 150 3500 100 300
att48 TSESM_AGM 23 45740 48 35874 10452692 300 150 3500 100 300
att48 TSESM_AGM 24 45740 48 35674 8568935 300 150 3500 100 300
att48 TSESM_AGM 25 45740 48 34958 13431597 300 150 3500 100 300
att48 TSESM_AGM 26 45740 48 35559 8697514 300 150 3500 100 300
att48 TSESM_AGM 27 45740 48 34719 10628255 300 150 3500 100 300
att48 TSESM_AGM 28 45740 48 35264 6865486 300 150 3500 100 300
att48 TSESM_AGM 29 45740 48 35683 10504727 300 150 3500 100 300
att48 TSESM_AGM 30 45740 48 34197 16545409 300 150 3500 100 300
att48 TSESM_SE 1 40138 48 35274 12970442 300 150 3500 100 300
att48 TSESM_SE 2 40138 48 35630 7667613 300 150 3500 100 300
att48 TSESM_SE 3 40138 48 35901 12310813 300 150 3500 100 300
att48 TSESM_SE 4 40138 48 35051 13674913 300 150 3500 100 300
att48 TSESM_SE 5 40138 48 35028 12035573 300 150 3500 100 300
att48 TSESM_SE 6 40138 48 34372 21820260 300 150 3500 100 300
att48 TSESM_SE 7 40138 48 35275 12874309 300 150 3500 100 300
att48 TSESM_SE 8 40138 48 34562 14777431 300 150 3500 100 300
att48 TSESM_SE 9 40138 48 35946 11101904 300 150 3500 100 300
att48 TSESM_SE 10 40138 48 35765 15276706 300 150 3500 100 300
att48 TSESM_SE 11 40138 48 35110 10239304 300 150 3500 100 300
att48 TSESM_SE 12 40138 48 36685 13980559 300 150 3500 100 300
att48 TSESM_SE 13 40138 48 35233 16205941 300 150 3500 100 300
att48 TSESM_SE 14 40138 48 34842 10682453 300 150 3500 100 300
att48 TSESM_SE 15 40138 48 35258 11510497 300 150 3500 100 300
att48 TSESM_SE 16 40138 48 35251 9297958 300 150 3500 100 300
att48 TSESM_SE 17 40138 48 36338 6712056 300 150 3500 100 300
att48 TSESM_SE 18 40138 48 35607 7525457 300 150 3500 100 300
att48 TSESM_SE 19 40138 48 34702 14999345 300 150 3500 100 300
att48 TSESM_SE 20 40138 48 35217 9668634 300 150 3500 100 300
att48 TSESM_SE 21 40138 48 36455 7283217 300 150 3500 100 300
att48 TSESM_SE 22 40138 48 35523 7829887 300 150 3500 100 300
att48 TSESM_SE 23 40138 48 36749 7759981 300 150 3500 100 300
att48 TSESM_SE 24 40138 48 35357 7995816 300 150 3500 100 300
att48 TSESM_SE 25 40138 48 35294 10939557 300 150 3500 100 300
att48 TSESM_SE 26 40138 48 35984 6831272 300 150 3500 100 300
att48 TSESM_SE 27 40138 48 34673 11339551 300 150 3500 100 300
att48 TSESM_SE 28 40138 48 36410 12900422 300 150 3500 100 300
att48 TSESM_SE 29 40138 48 35807 15852278 300 150 3500 100 300
att48 TSESM_SE 30 40138 48 35375 11981343 300 150 3500 100 300
att48 TSESM_NN 1 40503 48 34549 10446745 300 150 3500 100 300
att48 TSESM_NN 2 40503 48 34018 10886053 300 150 3500 100 300
att48 TSESM_NN 3 40503 48 34531 8866104 300 150 3500 100 300
att48 TSESM_NN 4 40503 48 34709 10616364 300 150 3500 100 300
att48 TSESM_NN 5 40503 48 34941 9274208 300 150 3500 100 300
att48 TSESM_NN 6 40503 48 34381 9845667 300 150 3500 100 300
att48 TSESM_NN 7 40503 48 35018 9342840 300 150 3500 100 300
att48 TSESM_NN 8 40503 48 35467 10492761 300 150 3500 100 300
att48 TSESM_NN 9 40503 48 35234 13205352 300 150 3500 100 300
att48 TSESM_NN 10 40503 48 34731 6573414 300 150 3500 100 300
att48 TSESM_NN 11 40503 48 34614 7893001 300 150 3500 100 300
att48 TSESM_NN 12 40503 48 34381 14064541 300 150 3500 100 300
att48 TSESM_NN 13 40503 48 35111 9608506 300 150 3500 100 300
att48 TSESM_NN 14 40503 48 34373 9410838 300 150 3500 100 300
att48 TSESM_NN 15 40503 48 35200 11782819 300 150 3500 100 300
att48 TSESM_NN 16 40503 48 34549 5753732 300 150 3500 100 300
att48 TSESM_NN 17 40503 48 34192 15985321 300 150 3500 100 300
att48 TSESM_NN 18 40503 48 34457 16074159 300 150 3500 100 300
att48 TSESM_NN 19 40503 48 35622 5378824 300 150 3500 100 300
att48 TSESM_NN 20 40503 48 34650 9422703 300 150 3500 100 300
att48 TSESM_NN 21 40503 48 34276 7713183 300 150 3500 100 300
att48 TSESM_NN 22 40503 48 34595 9470992 300 150 3500 100 300
att48 TSESM_NN 23 40503 48 34970 8648613 300 150 3500 100 300
att48 TSESM_NN 24 40503 48 34682 8458270 300 150 3500 100 300
att48 TSESM_NN 25 40503 48 35403 16114485 300 150 3500 100 300
att48 TSESM_NN 26 40503 48 34525 12363052 300 150 3500 100 300
att48 TSESM_NN 27 40503 48 34381 10284069 300 150 3500 100 300
att48 TSESM_NN 28 40503 48 34412 7951705 300 150 3500 100 300
att48 TSESM_NN 29 40503 48 34242 10551412 300 150 3500 100 300
att48 TSESM_NN 30 40503 48 35595 16350020 300 150 3500 100 300
att48 TSWSM_AGM 1 45740 48 36466 10724544 300 150 3500 100 300
att48 TSWSM_AGM 2 45740 48 34507 12391721 300 150 3500 100 300
att48 TSWSM_AGM 3 45740 48 35385 7056581 300 150 3500 100 300
att48 TSWSM_AGM 4 45740 48 34943 15163301 300 150 3500 100 300
att48 TSWSM_AGM 5 45740 48 34756 9852928 300 150 3500 100 300
att48 TSWSM_AGM 6 45740 48 36377 12593722 300 150 3500 100 300
att48 TSWSM_AGM 7 45740 48 35241 11961955 300 150 3500 100 300
att48 TSWSM_AGM 8 45740 48 36239 13245614 300 150 3500 100 300
att48 TSWSM_AGM 9 45740 48 35041 12863225 300 150 3500 100 300
att48 TSWSM_AGM 10 45740 48 35056 8665001 300 150 3500 100 300
att48 TSWSM_AGM 11 45740 48 35292 8157945 300 150 3500 100 300
att48 TSWSM_AGM 12 45740 48 34355 15410851 300 150 3500 100 300
att48 TSWSM_AGM 13 45740 48 34391 9839465 300 150 3500 100 300
att48 TSWSM_AGM 14 45740 48 35132 10390873 300 150 3500 100 300
att48 TSWSM_AGM 15 45740 48 34237 16131795 300 150 3500 100 300
att48 TSWSM_AGM 16 45740 48 35056 13869597 300 150 3500 100 300
att48 TSWSM_AGM 17 45740 48 35083 11359832 300 150 3500 100 300
att48 TSWSM_AGM 18 45740 48 35212 13281812 300 150 3500 100 300
att48 TSWSM_AGM 19 45740 48 33992 12450628 300 150 3500 100 300
att48 TSWSM_AGM 20 45740 48 35589 12081792 300 150 3500 100 300
att48 TSWSM_AGM 21 45740 48 34951 9584033 300 150 3500 100 300
att48 TSWSM_AGM 22 45740 48 34456 15815608 300 150 3500 100 300
att48 TSWSM_AGM 23 45740 48 36947 7710393 300 150 3500 100 300
att48 TSWSM_AGM 24 45740 48 35683 13460004 300 150 3500 100 300
att48 TSWSM_AGM 25 45740 48 34623 7901785 300 150 3500 100 300
att48 TSWSM_AGM 26 45740 48 34396 8133708 300 150 3500 100 300
att48 TSWSM_AGM 27 45740 48 35531 16160562 300 150 3500 100 300
att48 TSWSM_AGM 28 45740 48 34941 9507435 300 150 3500 100 300
att48 TSWSM_AGM 29 45740 48 36023 8963836 300 150 3500 100 300
att48 TSWSM_AGM 30 45740 48 35613 8015249 300 150 3500 100 300
att48 TSWSM_SE 1 40138 48 35033 11655458 300 150 3500 100 300
att48 TSWSM_SE 2 40138 48 35855 12060063 300 150 3500 100 300
att48 TSWSM_SE 3 40138 48 35277 11449093 300 150 3500 100 300
att48 TSWSM_SE 4 40138 48 35033 11135170 300 150 3500 100 300
att48 TSWSM_SE 5 40138 48 34607 9598029 300 150 3500 100 300
att48 TSWSM_SE 6 40138 48 35277 13511453 300 150 3500 100 300
att48 TSWSM_SE 7 40138 48 34669 8072646 300 150 3500 100 300
att48 TSWSM_SE 8 40138 48 35341 8922577 300 150 3500 100 300
att48 TSWSM_SE 9 40138 48 35094 11585482 300 150 3500 100 300
att48 TSWSM_SE 10 40138 48 34974 12415280 300 150 3500 100 300
att48 TSWSM_SE 11 40138 48 34434 16368525 300 150 3500 100 300
att48 TSWSM_SE 12 40138 48 34599 15651897 300 150 3500 100 300
att48 TSWSM_SE 13 40138 48 35578 14309768 300 150 3500 100 300
att48 TSWSM_SE 14 40138 48 34908 9008661 300 150 3500 100 300
att48 TSWSM_SE 15 40138 48 35421 8604348 300 150 3500 100 300
att48 TSWSM_SE 16 40138 48 34869 13211201 300 150 3500 100 300
att48 TSWSM_SE 17 40138 48 36102 9016926 300 150 3500 100 300
att48 TSWSM_SE 18 40138 48 35421 11099264 300 150 3500 100 300
att48 TSWSM_SE 19 40138 48 35430 10118362 300 150 3500 100 300
att48 TSWSM_SE 20 40138 48 35277 8627431 300 150 3500 100 300
att48 TSWSM_SE 21 40138 48 34869 8556919 300 150 3500 100 300
att48 TSWSM_SE 22 40138 48 36029 14288961 300 150 3500 100 300
att48 TSWSM_SE 23 40138 48 35725 11099743 300 150 3500 100 300
att48 TSWSM_SE 24 40138 48 35261 6470726 300 150 3500 100 300
att48 TSWSM_SE 25 40138 48 35421 11029494 300 150 3500 100 300
att48 TSWSM_SE 26 40138 48 35503 11743201 300 150 3500 100 300
att48 TSWSM_SE 27 40138 48 35160 9503832 300 150 3500 100 300
att48 TSWSM_SE 28 40138 48 36355 10906659 300 150 3500 100 300
att48 TSWSM_SE 29 40138 48 36102 9259302 300 150 3500 100 300
att48 TSWSM_SE 30 40138 48 35632 7894752 300 150 3500 100 300
att48 TSWSM_NN 1 40503 48 35051 11428815 300 150 3500 100 300
att48 TSWSM_NN 2 40503 48 34780 9727266 300 150 3500 100 300
att48 TSWSM_NN 3 40503 48 34971 16010312 300 150 3500 100 300
att48 TSWSM_NN 4 40503 48 35171 14672991 300 150 3500 100 300
att48 TSWSM_NN 5 40503 48 35114 15400541 300 150 3500 100 300
att48 TSWSM_NN 6 40503 48 34511 10810852 300 150 3500 100 300
att48 TSWSM_NN 7 40503 48 34652 10553285 300 150 3500 100 300
att48 TSWSM_NN 8 40503 48 35246 9765094 300 150 3500 100 300
att48 TSWSM_NN 9 40503 48 35276 11091018 300 150 3500 100 300
att48 TSWSM_NN 10 40503 48 34224 9178091 300 150 3500 100 300
att48 TSWSM_NN 11 40503 48 35181 8432839 300 150 3500 100 300
att48 TSWSM_NN 12 40503 48 34244 9180322 300 150 3500 100 300
att48 TSWSM_NN 13 40503 48 34878 11366382 300 150 3500 100 300
att48 TSWSM_NN 14 40503 48 34490 13036883 300 150 3500 100 300
att48 TSWSM_NN 15 40503 48 34381 13546932 300 150 3500 100 300
att48 TSWSM_NN 16 40503 48 34273 11803667 300 150 3500 100 300
att48 TSWSM_NN 17 40503 48 36148 13651866 300 150 3500 100 300
att48 TSWSM_NN 18 40503 48 34521 10109492 300 150 3500 100 300
att48 TSWSM_NN 19 40503 48 34406 15565588 300 150 3500 100 300
att48 TSWSM_NN 20 40503 48 34948 16913854 300 150 3500 100 300
att48 TSWSM_NN 21 40503 48 34493 17603244 300 150 3500 100 300
att48 TSWSM_NN 22 40503 48 34526 14008714 300 150 3500 100 300
att48 TSWSM_NN 23 40503 48 34585 17244572 300 150 3500 100 300
att48 TSWSM_NN 24 40503 48 34437 19117162 300 150 3500 100 300
att48 TSWSM_NN 25 40503 48 35224 13563666 300 150 3500 100 300
att48 TSWSM_NN 26 40503 48 34842 16255130 300 150 3500 100 300
att48 TSWSM_NN 27 40503 48 34622 15957278 300 150 3500 100 300
att48 TSWSM_NN 28 40503 48 34190 10875300 300 150 3500 100 300
att48 TSWSM_NN 29 40503 48 34774 8488515 300 150 3500 100 300
att48 TSWSM_NN 30 40503 48 34564 12604106 300 150 3500 100 300
berlin52 TSESM_AGM 1 10713 52 8280 13786281 200 150 3500 100 300
berlin52 TSESM_AGM 2 10713 52 8200 11626487 200 150 3500 100 300
berlin52 TSESM_AGM 3 10713 52 7819 20352892 200 150 3500 100 300
berlin52 TSESM_AGM 4 10713 52 8347 20407472 200 150 3500 100 300
berlin52 TSESM_AGM 5 10713 52 7977 11710813 200 150 3500 100 300
berlin52 TSESM_AGM 6 10713 52 8146 16830032 200 150 3500 100 300
berlin52 TSESM_AGM 7 10713 52 8169 11118288 200 150 3500 100 300
berlin52 TSESM_AGM 8 10713 52 7849 20313138 200 150 3500 100 300
